DAY,LOCATION,DESCRIPTION,LATITUDE,LONGITUDE
1-2,Frankfurt,Stop here and enjoy the amazing views for the city from the lake,50.110924,8.682127
3,Cologne,Stop here and enjoy the amazing views for the city from the lake,50.940529,6.95991
4,Rüdesheim,Stop here and enjoy the amazing views for the city from the lake,49.84523,7.80434
5,Heidelberg,Stop here and enjoy the amazing views for the city from the lake,49.408737,8.698004
6,Wertheim,Stop here and enjoy the amazing views for the city from the lake,49.757179,9.513431
7,Wurzburg,Stop here and enjoy the amazing views for the city from the lake,49.813616,9.980246
8,Bamberg,Stop here and enjoy the amazing views for the city from the lake,49.898815,10.902764
9,Nuremberg,Stop here and enjoy the amazing views for the city from the lake,49.446007,11.07977
10,Regensburg,Stop here and enjoy the amazing views for the city from the lake,49.013432,12.101624
11,Passau,Stop here and enjoy the amazing views for the city from the lake,48.566734,13.431947
12-14,Vienna,Stop here and enjoy the amazing views for the city from the lake,48.208176,16.373819
15-16,Budapest Hangary,Stop here and enjoy the amazing views for the city from the lake,47.497913,19.040236
